data_year,victim_id,injury_id
2023,191847763,4
2023,191847765,4
2023,191847648,4
2023,191847402,4
2023,191847801,6
2023,191847631,4
2023,191847669,5
2023,193728544,5
2023,193728452,4
2023,193728498,6
2023,193728537,5
2023,193728681,4
2023,193728682,4
2023,193728795,6
2023,193728579,4
2023,193728623,4
2023,193728624,5
2023,193728507,4
2023,193728993,5
2023,193728541,5
2023,193729028,4
2023,193729029,5
2023,193729063,3
2023,193728702,4
2023,193728684,4
2023,193728706,4
2023,193728931,4
2023,193728777,2
2023,193728721,5
2023,195240973,4
2023,195241129,5
2023,195240902,5
2023,195240840,5
2023,195241045,4
2023,195240933,6
2023,195241086,5
2023,195240972,4
2023,195241383,4
2023,195241011,4
2023,195240949,3
2023,195241184,5
2023,195241214,6
2023,195241138,5
2023,195241166,5
2023,195241125,5
2023,197639444,5
2023,197639486,5
2023,197640430,4
2023,197640165,4
2023,197639614,5
2023,197639558,5
2023,197639559,5
2023,197639561,5
2023,197639708,5
2023,197640380,4
2023,197640418,5
2023,197639586,5
2023,197639587,5
2023,197639675,4
2023,197640450,4
2023,197640483,5
2023,197639790,3
2023,197640404,6
2023,197640429,4
2023,197639777,4
2023,199727535,5
2023,199727412,5
2023,199727703,4
2023,199727704,5
2023,199727489,6
2023,199727470,5
2023,199727825,8
2023,199727580,5
2023,199727608,5
2023,199727812,5
2023,199727875,4
2023,199727878,4
2023,199727879,4
2023,199727880,4
2023,199727583,4
2023,203286119,5
2023,203286123,5
2023,203285914,6
2023,203286172,4
2023,203286173,5
2023,203284946,4
2023,203286206,6
2023,203285094,3
2023,203285040,3
2023,203285092,5
2023,203285140,5
2023,203285141,5
2023,203285142,5
2023,203286189,5
2023,203286289,6
2023,203286155,4
2023,203286156,5
2023,203285390,5
2023,203286161,4
2023,203285440,3
2023,203285441,8
2023,203285530,5
2023,203286341,4
2023,203286415,4
2023,203285599,5
2023,203286330,5
2023,203285640,3
2023,203285669,5
2023,203285670,5
2023,203286462,5
2023,203285755,5
2023,203285997,4
2023,203285829,5
2023,203286073,2
2023,205318607,6
2023,205318013,5
2023,205318101,4
2023,205318102,5
2023,205318103,5
2023,205318104,4
2023,205318107,5
2023,205318113,5
2023,205318454,5
2023,205318027,5
2023,205318028,5
2023,205318029,5
2023,205318237,5
2023,205318239,5
2023,205318240,5
2023,205318311,5
2023,205318174,5
2023,205318197,6
2023,205318267,5
2023,205318271,5
2023,205318344,4
2023,205318322,4
2023,188488699,4
2023,188488722,5
2023,188488776,5
2023,188488738,5
2023,188488874,5
2023,188488797,4
2023,188488829,5
2023,188488839,5
2023,188488840,5
2023,188488848,5
2023,188488778,4
2023,188488882,5
2023,188488854,5
2023,188489078,5
2023,188488867,5
2023,188488868,5
2023,188488869,4
2023,188488870,5
2023,188488990,5
2023,188489069,4
2023,189436183,4
2023,189436626,5
2023,189436645,2
2023,189436802,5
2023,189436765,5
2023,189436799,4
2023,191859709,4
2023,191859428,4
2023,191859444,4
2023,191859487,5
2023,191859488,5
2023,193741462,5
2023,193741387,4
2023,193741391,5
2023,193741354,5
2023,193741430,7
2023,193741586,4
2023,193741585,5
2023,193741590,4
2023,193741655,4
2023,193741648,5
2023,193741669,4
2023,203305663,5
2023,203305779,4
2023,203305727,4
2023,203305802,4
2023,203305873,4
2023,197654213,5
2023,197654349,5
2023,197655289,5
2023,197655290,5
2023,197654482,5
2023,197654547,5
2023,197654633,4
2023,197654833,5
2023,199741140,5
2023,199741249,4
2023,199741379,4
2023,199741392,8
2023,199741469,4
2023,199741398,5
2023,199741369,4
2023,199741534,4
2023,199741467,5
2023,199741468,5
2023,199741515,4
2023,199741448,4
2023,199741449,5
2023,199741420,5
2023,203305912,4
2023,203305918,4
2023,203305888,5
2023,203305920,4
2023,203306008,3
2023,203305946,6
2023,203305942,5
2023,203306005,5
2023,203306011,4
2023,203306183,5
2023,203306303,8
2023,205327141,5
2023,205327143,5
2023,205327144,5
2023,205327214,4
2023,205327319,5
2023,205327315,5
2023,205327717,5
2023,205327671,5
2023,205327551,5
2023,186297809,6
