data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2023,12,171681909,3.000,1,15972646
2023,12,171682067,1.000,11,15972658
2023,17,171682067,1.000,11,15972659
2023,12,171682336,1.000,11,15972680
2023,5,171682362,1.000,11,15972686
2023,2,171682297,1.000,11,15972676
2023,4,171682353,1.000,11,15972683
2023,12,171682353,1.000,11,15972684
2023,16,173487187,1.000,11,16230589
2023,13,173487146,17.000,9,16230583
2023,12,173487153,1.000,11,16230584
2023,12,173487376,1.000,11,16230595
2023,5,173487397,1.000,11,16230599
2023,12,173487795,1.000,11,16230628
2023,12,173487530,1.000,11,16230611
2023,5,173487474,1.000,11,16230606
2023,5,173487678,0.900,3,16230620
2023,2,175039990,1.000,11,16425312
2023,5,175039999,1.000,11,16425314
2023,1,175039978,1.000,11,16425310
2023,5,175040064,1.000,11,16425328
2023,5,175040034,1.000,11,16425322
2023,12,175040318,1.000,11,16425371
2023,5,175040418,1.000,11,16425389
2023,2,175040418,1.000,11,16425390
2023,17,175040494,1.000,11,16425397
2023,5,177706341,1.000,11,16788673
2023,5,177706234,1.000,11,16788663
2023,5,177706349,0.005,3,16788674
2023,12,177706495,0.100,1,16788688
2023,5,177706334,1.000,11,16788671
2023,5,177706599,1.000,11,16788692
2023,12,177706691,0.250,1,16788705
2023,16,177706931,1.000,11,16788728
2023,12,177706968,1.000,11,16788739
2023,12,177706932,1.000,11,16788729
2023,15,177706932,1.000,11,16788730
2023,5,177706932,1.000,11,16788731
2023,12,177707054,1.000,11,16788743
2023,12,177707073,1.000,11,16788745
2023,12,180148407,1.000,1,17120757
2023,12,177707233,1.000,11,16788760
2023,12,177707276,1.000,11,16788764
2023,9,177707402,1.000,11,16788779
2023,8,177707402,1.000,11,16788780
2023,16,177707402,1.000,11,16788781
2023,11,177707451,8.100,1,16788789
2023,5,177707451,32.200,1,16788790
2023,5,179257559,20.000,1,16997163
2023,5,180148385,1.000,11,17120753
2023,16,180148385,2.000,9,17120754
2023,12,180148385,2.000,9,17120755
2023,16,179257778,1.000,11,16997211
2023,5,179257815,2.600,3,16997217
2023,12,179257839,0.001,1,16997223
2023,12,179257750,1.000,11,16997208
2023,12,179257732,1.000,11,16997205
2023,2,179257886,2.000,1,16997230
2023,1,179257886,1.000,11,16997231
2023,12,173513921,1.000,9,16233168
2023,5,173514253,1.000,3,16233186
2023,12,173514421,1.000,3,16233199
2023,5,173514415,1.000,1,16233197
2023,2,173514610,2.000,1,16233213
2023,2,173514410,0.500,3,16233196
2023,12,173514482,0.500,3,16233204
2023,12,173514707,2.000,1,16233221
2023,4,173514707,1.000,1,16233222
2023,12,173514882,0.500,1,16233232
2023,5,173515087,5.000,1,16233245
2023,2,173514899,1.000,7,16233234
2023,12,173515177,0.500,9,16233251
2023,12,173515233,0.500,3,16233257
2023,5,173515233,0.500,3,16233258
2023,16,173515233,82.000,9,16233259
2023,12,173515268,0.500,3,16233263
2023,5,173515200,14.000,3,16233252
2023,2,173515568,1.000,9,16233284
2023,1,173515640,1.000,9,16233299
2023,12,173515640,1.000,9,16233300
2023,2,173515991,1.000,1,16233368
2023,16,173516260,1.000,11,16233408
2023,5,173516393,0.500,3,16233427
2023,12,173516585,2.000,9,16233452
2023,5,173516619,3.500,3,16233456
2023,12,173516821,1.000,1,16233476
2023,16,173516865,0.500,3,16233485
2023,5,173516865,0.500,3,16233486
2023,2,173516970,0.500,3,16233493
2023,5,173516998,1.000,3,16233496
2023,8,173517181,1.000,9,16233510
2023,12,173517181,1.000,9,16233511
2023,5,175036223,0.500,3,16424881
2023,2,175036277,1.000,1,16424891
2023,1,175036277,1.000,1,16424892
2023,16,175036277,1.000,3,16424893
2023,5,177696876,0.500,3,16787625
2023,5,177696895,0.500,3,16787626
2023,1,177697095,1.000,3,16787658
2023,5,179250747,0.500,3,16996502
2023,12,177697392,0.500,3,16787720
2023,12,179250902,1.000,1,16996516
2023,5,179250950,1.000,1,16996517
2023,5,179250950,1.000,11,16996518
2023,12,179250953,1.000,9,16996519
2023,12,179252042,7.000,9,16996629
2023,12,179251030,1.000,9,16996526
2023,2,173522320,1.000,1,16233956
2023,5,175066196,2.800,1,16428230
2023,5,175066247,0.100,1,16428234
2023,5,175066271,0.500,3,16428237
2023,5,175066290,2.000,1,16428239
2023,5,175066302,0.540,3,16428243
2023,5,177747952,0.140,3,16793849
2023,5,179275772,1.000,1,16999905
2023,12,166593951,5.000,1,15240547
2023,16,166594519,1.000,9,15240615
2023,4,166593987,1.000,9,15240550
2023,12,166593987,1.000,9,15240551
2023,12,166594027,2.200,1,15240555
2023,13,166594027,4.000,9,15240556
2023,12,166594185,3.100,2,15240571
2023,5,166594221,546.470,1,15240575
2023,8,166594221,178.000,9,15240576
2023,5,166594184,6.000,1,15240570
2023,5,175036786,1.000,1,16424939
2023,12,175036786,1.000,1,16424940
2023,8,166594277,1.000,1,15240581
2023,8,166594261,1.000,1,15240580
2023,12,175036797,1.000,9,16424942
2023,12,175036959,1.000,9,16424963
2023,5,175036943,17.900,1,16424961
2023,8,175036943,2.000,9,16424962
2023,12,175036927,5.990,1,16424959
2023,12,175036993,0.500,1,16424970
2023,5,175037020,2.000,1,16424971
2023,12,175036972,1.000,11,16424965
2023,5,175037086,3.000,9,16424983
2023,8,175037068,1.000,9,16424979
2023,16,175037112,49.000,9,16424985
2023,12,175037142,9.560,1,16424997
2023,12,175039120,1.000,9,16425210
2023,12,175039070,1.580,1,16425206
2023,12,175039004,2.000,9,16425197
2023,12,175039004,1.000,1,16425198
2023,5,163597548,3.700,1,14813430
2023,5,163597526,1.000,3,14813428
2023,5,163597385,13.400,1,14813405
2023,12,163597320,24.600,1,14813399
2023,5,163597315,1.000,9,14813398
2023,5,163597422,46.200,1,14813409
2023,12,163597447,0.300,1,14813413
2023,12,163597591,0.800,1,14813437
2023,8,163597591,4.000,1,14813438
2023,12,163597454,1.000,9,14813416
2023,12,163597524,2.800,1,14813427
